year,head_to_head,result,fifa_rank_diff,home_form_total,away_form_total,stage_encoded,home_team_encoded,away_team_encoded
2018,0,home team win,123.79243925573041,0.3,0.19999999999999998,0,17,49
2018,0,away team win,23.921188564419026,0.39999999999999997,0.7000000000000001,0,16,65
2018,2,away team win,98.32322466590904,0.3,0.09999999999999999,0,28,45
2018,0,draw,229.12504636648578,0.6,0.8999999999999999,0,8,74
2018,0,home team win,20.09993181448317,0.0,0.09999999999999999,0,69,70
2018,0,home team win,170.65225696578796,0.7000000000000001,0.09999999999999999,0,5,53
2018,0,away team win,-172.5571093261367,0.39999999999999997,0.5,0,74,27
2018,0,home team win,-13.060684702069011,3.7,0.09999999999999999,0,57,25
2018,1,away team win,136.69498286189287,0.3,0.39999999999999997,0,15,43
2018,0,away team win,-15.986173023430638,0.8999999999999999,0.3,0,52,64
2018,0,home team win,208.68872989830425,0.6,0.19999999999999998,0,79,62
2018,0,away team win,-155.37680239159272,0.3,2.8999999999999995,0,35,72
2018,0,home team win,138.62139318628397,2.5999999999999996,0.5,0,53,46
2018,0,home team win,79.49998590096448,2.0,0.5,0,27,55
2018,1,away team win,79.60605077668424,1.4,0.3,0,2,17
2018,1,draw,9.148889595202263,0.19999999999999998,1.2999999999999998,0,21,3
2018,3,home team win,294.76563880515687,1.2999999999999998,0.39999999999999997,0,8,16
2018,0,home team win,18.760650341974497,0.19999999999999998,1.2,0,45,36
2018,0,away team win,-77.48731003088619,0.7000000000000001,1.5999999999999999,0,61,74
2018,0,home team win,144.45486398307003,2.8,0.39999999999999997,0,5,78
2018,0,away team win,-112.0714863429273,0.09999999999999999,0.7999999999999999,0,66,45
2018,4,home team win,146.6262465366674,0.3,0.0,0,28,73
2018,0,home team win,221.59481261517385,0.5,0.09999999999999999,0,25,53
2018,0,draw,-42.2858878367274,0.39999999999999997,1.7,0,40,64
2018,0,away team win,-103.29258779879933,1.5999999999999999,0.3,0,52,15
2018,0,home team win,-60.71524601373699,0.19999999999999998,0.7999999999999999,0,58,25
2018,0,home team win,151.72407383662107,1.2999999999999998,0.19999999999999998,0,79,61
2018,0,draw,265.8241083068235,0.7999999999999999,0.5,0,68,46
2018,0,draw,-53.094520555047666,0.3,0.5,0,35,57
2018,0,away team win,-172.66142745583602,0.5,2.3999999999999995,0,34,17
2018,0,away team win,-190.58204683041117,1.5999999999999999,0.7000000000000001,0,45,2
2018,0,away team win,-58.004903275766765,0.6,0.5,0,3,55
2018,1,draw,-144.93816930668982,0.8999999999999999,0.6,0,21,29
2018,0,home team win,-193.6223675737142,0.7999999999999999,0.3,0,66,30
2018,0,away team win,92.16913154807298,0.09999999999999999,0.7,0,41,73
2018,0,away team win,-304.35687453830474,1.4,0.6,0,61,8
2018,0,draw,92.9274052378878,0.8999999999999999,0.39999999999999997,0,70,16
2018,1,away team win,42.766191938861766,4.699999999999999,0.7000000000000001,0,25,5
2018,0,away team win,-31.935739224606323,0.09999999999999999,1.7999999999999998,0,49,78
2018,0,away team win,6.703602561887692,1.7999999999999998,0.8999999999999999,0,40,56
2018,0,away team win,-70.8215000499415,0.3,2.3999999999999995,0,60,15
2018,0,home team win,-8.281289069510194,1.65,2.1,3,27,2
2018,0,home team win,0.774034007937189,2.0,1.2,3,79,57
2018,0,away team win,277.94430567395466,2.1999999999999997,0.19999999999999998,3,68,61
2018,0,home team win,101.03595995493902,1.7,0.8999999999999999,3,17,21
2018,4,home team win,207.84005893556127,1.65,1.15,3,8,45
2018,0,home team win,146.44415962618473,3.5,1.7999999999999998,3,5,43
2018,0,home team win,-54.6179995299924,0.7,1.9499999999999997,3,69,74
2018,0,away team win,-21.20994317345958,1.0,1.9,3,15,27
2018,1,away team win,-39.10224449906286,2.0,0.6,4,79,29
2018,1,away team win,156.6544202426876,1.7666666666666666,1.4,4,8,5
2018,0,away team win,-156.36637526371874,3.0,2.05,4,57,17
2018,0,away team win,-120.81579756434166,0.7,1.5499999999999998,4,69,27
2018,2,home team win,24.941132825853856,2.2333333333333334,1.75,1,27,5
2018,0,home team win,-48.79967752336552,1.3499999999999999,1.6666666666666667,1,17,27
2018,1,home team win,-4.445732479535991,3.2666666666666666,1.4333333333333331,5,5,27
2018,1,home team win,65.32385324576785,2.0,1.9333333333333333,2,27,17
2019,2,home team win,184.8148787673449,0.5,0.3,0,27,70
2019,1,home team win,276.76500612914356,0.6,0.39999999999999997,0,28,13
2019,1,home team win,351.4312182580793,0.6,0.39999999999999997,0,68,69
2019,1,home team win,-70.6587241519112,0.5,0.3,0,48,49
2019,0,home team win,227.62097065442708,0.6,0.09999999999999999,0,25,63
2019,0,away team win,-101.68849788881312,0.7999999999999999,0.3,0,3,40
2019,0,home team win,426.71636912484064,0.6,0.09999999999999999,0,8,42
